"","NUTSID","LEVL","CNTR","NAME_LATIN","NAME","MOUNT","URBN","COAST","FID","avg_tmp_min","Date"
"1","FRJ13",3,"FR","Hérault","Hérault",4,2,1,"FRJ13",10.7701015472412,"2019-01-01"
"2","FRJ14",3,"FR","Lozère","Lozère",3,3,3,"FRJ14",7.17782545089722,"2019-01-01"
"3","FRJ15",3,"FR","Pyrénées-Orientales","Pyrénées-Orientales",2,2,1,"FRJ15",13.2278842926025,"2019-01-01"
"4","FRJ21",3,"FR","Ariège","Ariège",3,3,3,"FRJ21",8.44749069213867,"2019-01-01"
"5","FRK24",3,"FR","Isère","Isère",2,2,3,"FRK24",4.94721221923828,"2019-01-01"
"6","FRK25",3,"FR","Loire","Loire",3,2,3,"FRK25",4.21913909912109,"2019-01-01"
"7","FRK26",3,"FR","Rhône","Rhône",2,1,3,"FRK26",5.61342525482178,"2019-01-01"
"8","FRK27",3,"FR","Savoie","Savoie",3,2,3,"FRK27",4.25884199142456,"2019-01-01"
"9","FRK28",3,"FR","Haute-Savoie","Haute-Savoie",3,2,3,"FRK28",4.48009634017944,"2019-01-01"
"10","FRJ22",3,"FR","Aveyron","Aveyron",3,3,3,"FRJ22",4.67098617553711,"2019-01-01"
"11","FRJ23",3,"FR","Haute-Garonne","Haute-Garonne",4,1,3,"FRJ23",5.55968713760376,"2019-01-01"
"12","FRJ24",3,"FR","Gers","Gers",4,3,3,"FRJ24",3.85641479492188,"2019-01-01"
"13","FRJ25",3,"FR","Lot","Lot",4,3,3,"FRJ25",4.14629602432251,"2019-01-01"
"14","FRJ26",3,"FR","Hautes-Pyrénées","Hautes-Pyrénées",2,3,3,"FRJ26",7.74935960769653,"2019-01-01"
"15","FRJ27",3,"FR","Tarn","Tarn",4,3,3,"FRJ27",4.24643278121948,"2019-01-01"
"16","FRJ28",3,"FR","Tarn-et-Garonne","Tarn-et-Garonne",4,3,3,"FRJ28",4.89645481109619,"2019-01-01"
"17","FRK11",3,"FR","Allier","Allier",4,3,3,"FRK11",6.13140487670898,"2019-01-01"
"18","FRK12",3,"FR","Cantal","Cantal",3,3,3,"FRK12",3.40793371200562,"2019-01-01"
"19","FRK13",3,"FR","Haute-Loire","Haute-Loire",3,3,3,"FRK13",2.22121667861938,"2019-01-01"
"20","FRK14",3,"FR","Puy-de-Dôme","Puy-de-Dôme",3,2,3,"FRK14",4.65644359588623,"2019-01-01"
"21","FRK21",3,"FR","Ain","Ain",4,3,3,"FRK21",5.46112823486328,"2019-01-01"
"22","FRK22",3,"FR","Ardèche","Ardèche",3,3,3,"FRK22",6.97760915756226,"2019-01-01"
"23","FRK23",3,"FR","Drôme","Drôme",2,3,3,"FRK23",7.4598331451416,"2019-01-01"
"24","FRL01",3,"FR","Alpes-de-Haute-Provence","Alpes-de-Haute-Provence",3,3,3,"FRL01",11.1422595977783,"2019-01-01"
"25","FRL02",3,"FR","Hautes-Alpes","Hautes-Alpes",3,3,3,"FRL02",6.41719102859497,"2019-01-01"
"26","FRL03",3,"FR","Alpes-Maritimes","Alpes-Maritimes",2,1,1,"FRL03",11.5342617034912,"2019-01-01"
"27","FRL04",3,"FR","Bouches-du-Rhône","Bouches-du-Rhône",4,1,1,"FRL04",12.8574151992798,"2019-01-01"
"28","FRL05",3,"FR","Var","Var",2,2,1,"FRL05",14.2389392852783,"2019-01-01"
"29","FRL06",3,"FR","Vaucluse","Vaucluse",2,2,3,"FRL06",11.8590679168701,"2019-01-01"
"30","FRM01",3,"FR","Corse-du-Sud","Corse-du-Sud",3,3,1,"FRM01",13.4900026321411,"2019-01-01"
"31","FRM02",3,"FR","Haute-Corse","Haute-Corse",3,3,1,"FRM02",12.5209531784058,"2019-01-01"
"32","FR101",3,"FR","Paris","Paris",4,1,3,"FR101",8.27728271484375,"2019-01-01"
"33","FR102",3,"FR","Seine-et-Marne","Seine-et-Marne",4,2,3,"FR102",7.67320156097412,"2019-01-01"
"34","FR103",3,"FR","Yvelines","Yvelines",4,1,3,"FR103",8.04514217376709,"2019-01-01"
"35","FR104",3,"FR","Essonne","Essonne",4,1,3,"FR104",8.02994632720947,"2019-01-01"
"36","FR105",3,"FR","Hauts-de-Seine","Hauts-de-Seine",4,1,3,"FR105",8.4484977722168,"2019-01-01"
"37","FR106",3,"FR","Seine-Saint-Denis","Seine-Saint-Denis",4,1,3,"FR106",8.4760103225708,"2019-01-01"
"38","FR107",3,"FR","Val-de-Marne","Val-de-Marne",4,1,3,"FR107",8.36783981323242,"2019-01-01"
"39","FR108",3,"FR","Val-d’Oise","Val-d’Oise",4,1,3,"FR108",8.49743747711182,"2019-01-01"
"40","FRB01",3,"FR","Cher","Cher",4,3,3,"FRB01",6.66391754150391,"2019-01-01"
"41","FRB02",3,"FR","Eure-et-Loir","Eure-et-Loir",4,3,3,"FRB02",7.61619710922241,"2019-01-01"
"42","FRB03",3,"FR","Indre","Indre",4,3,3,"FRB03",7.21216344833374,"2019-01-01"
"43","FRB04",3,"FR","Indre-et-Loire","Indre-et-Loire",4,2,3,"FRB04",7.5159101486206,"2019-01-01"
"44","FRB05",3,"FR","Loir-et-Cher","Loir-et-Cher",4,3,3,"FRB05",7.30619859695435,"2019-01-01"
"45","FRB06",3,"FR","Loiret","Loiret",4,2,3,"FRB06",7.18048095703125,"2019-01-01"
"46","FRC11",3,"FR","Côte-d’Or","Côte-d’Or",4,2,3,"FRC11",5.52329015731812,"2019-01-01"
"47","FRC12",3,"FR","Nièvre","Nièvre",4,3,3,"FRC12",5.78759574890137,"2019-01-01"
"48","FRC13",3,"FR","Saône-et-Loire","Saône-et-Loire",4,3,3,"FRC13",6.08429384231567,"2019-01-01"
"49","FRC14",3,"FR","Yonne","Yonne",4,3,3,"FRC14",6.31870603561401,"2019-01-01"
"50","FRC21",3,"FR","Doubs","Doubs",2,2,3,"FRC21",3.52692937850952,"2019-01-01"
"51","FRC22",3,"FR","Jura","Jura",3,3,3,"FRC22",4.59851312637329,"2019-01-01"
